
2025/01/04 (17:37:41) | ===> btop++ v.1.4.0
2025/01/04 (17:37:41) | INFO: Logger set to INFO
2025/01/04 (17:37:42) | INFO: Logger set to DEBUG
2025/01/04 (17:37:43) | INFO: Logger set to INFO
2025/01/04 (17:37:46) | INFO: Logger set to INFO
2025/01/04 (17:37:46) | INFO: Logger set to DEBUG
2025/01/04 (17:37:47) | INFO: Logger set to INFO

2025/02/19 (19:11:17) | ===> btop++ v.1.4.0
2025/02/19 (19:11:17) | WARNING: Failed to join _runner thread on exit!

2025/02/19 (19:11:20) | ===> btop++ v.1.4.0
2025/02/19 (19:11:20) | WARNING: Failed to join _runner thread on exit!

2025/03/28 (10:50:11) | ===> btop++ v.1.4.0
2025/03/28 (10:50:11) | WARNING: Failed to join _runner thread on exit!
